MANUFACTURER;BRAND;ITEM_DESCRIPTION;FORMAT;ATTR1;ATTR2;ATTR3;CATEGORY;ITEM_CODE
"RECKITT";"VANISH";"VANISH OXI ACTION CRISTAL WHITE BOT 150GR 7501058715012";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058715012"
"RECKITT";"VANISH";"VANISH OXI ACTION QUITA MANCHAS BOT 240GR 7501058715098";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058715098"
"RECKITT";"VANISH";"VANISH COLOR QUITAMANCHAS GEL DOYPACK 150ML 7501058715531";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058715531"
"RECKITT";"VANISH";"VANISH OXI ACTION GOLD QUITAMANCHAS BOLSA 1.8KG 7501058715883";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058715883"
"RECKITT";"VANISH";"VANISH OXI ACTION CRISTAL WHITE BOLSA 1.8KG 7501058715890";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058715890"
"RECKITT";"VANISH PODER 02";"VANISH SUPER BARRA GOLD QUITAMA C/ENZIMA 2PZAS 68GRC/U=136GR 7501058716040";"BARRA";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058716040"
"RECKITT";"VANISH";"VANISH OXI ACTION ROSA QUITA/MANCHAS P/ROPA BOT 810GR 7501058716064";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058716064"
"RECKITT";"VANISH";"VANISH OXI ACTION CRISTAL WHITE QUITAMANCHAS P/ROPA BOT810GR 7501058716071";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058716071"
"RECKITT";"VANISH";"VANISH OXI ACTION GOLD QUITAMANCHA AHORRO DEL 30% BOT 400GR 7501058716422";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058716422"
"RECKITT";"VANISH";"VANISH OXI ACTION GOLD QUITAMANCHAS AHORRO DEL 25% BOT 500GR 7501058716439";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058716439"
"RECKITT";"VANISH";"VANISH OXI ACTION CRISTAL WHITE AHORRO DEL 25% BOT 500GR 7501058716446";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058716446"
"RECKITT";"VANISH";"VANISH ROSA QUITAMANCHAS GEL BOT 3.8 LT PROM ESP 7501058716767";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058716767"
"RECKITT";"VANISH";"VANISH CRYSTAL WHITE QUITAMANCHAS GEL BOT 3.8 LT PROM ESP 7501058716798";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058716798"
"RECKITT";"VANISH";"VANISH OXI ACTION ROSA QUITAMANCHAS BOT 120GR 7501058717009";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058717009"
"RECKITT";"VANISH";"VANISH OXI ACTION CRISTAL WHITE BOT 120 GR 7501058717016";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058717016"
"RECKITT";"VANISH";"VANISH ROSA QUITAMANCHAS GEL MULTIUSOS POUCH 450 ML 7501058717023";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058717023"
"RECKITT";"VANISH";"VANISH CRYSTAL WHITE QUITAMANCHAS GEL POUCH 450 ML 7501058717030";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058717030"
"RECKITT";"VANISH PODER 02";"VANISH EXTRA-HIGIENE PODER 02 BOTE 420GR 7501058753212";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058753212"
"RECKITT";"VANISH";"VANISH EXTRA-HIGIENE PODER 02 BOTE 870GR 7501058753304";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058753304"
"RECKITT";"VANISH";"VANISH PODER O2 DOYPACK 120 GR 7501058753441";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058753441"
"RECKITT";"VANISH";"VANISH PODER O2 CRYSTAL WHITE DOYPACK 120 GR 7501058753458";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058753458"
"RECKITT";"VANISH";"VANISH PODER02 CRYSTAL WHITE S/C PVO. ROPA TARRO PLAST.900GR 7501058757449";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058757449"
"RECKITT";"VANISH PODER 02";"9VANISH PODER O2 BOTE  500 GR IMP 7501058757722";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058757722"
"RECKITT";"VANISH PODER 02";"VANISH PODER O2 REMOVEDOR DE MANCHAS BOT 1000 GR NAL 7501058757753";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058757753"
"RECKITT";"VANISH";"VANISH PODER O2 GEL BOTELLA   500 ML 7501058757838";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058757838"
"RECKITT";"VANISH";"VANISH PODER O2 CRYSTAL WHITE BOTE 450  GR 7501058757890";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058757890"
"RECKITT";"VANISH";"VANISH PODER O2 CRYSTAL WHITE BOTE 1000 GR 7501058757906";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058757906"
"RECKITT";"VANISH";"VANISH OXI ACTION QUITAMANCHAS BOT 450G C/GMM BOT 150GR 7501058782694BP1";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058782694BP1"
"RECKITT";"VANISH CRYSTAL WHITE";"VANISH ROSA BOTE 450GR + MM WHITE BOTE 450GR NAL 7501058783332BP2";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058783332BP2"
"RECKITT";"VANISH PODER 02";"VANISH PODER O2 CRYSTAL WHITE BOT 900ML+MM ROSA PVO.BOT900GR 7501058783349BP1";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058783349BP1"
"RECKITT";"VANISH";"VANISH PODER 02 INTELLIGENCE POLVO BOT 900 GR NAL 7501058784346";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058784346"
"RECKITT";"VANISH";"VANISH INTELLIGENCE POLVO BOTE 450 GR NAL 7501058784353";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058784353"
"RECKITT";"VANISH PODER 02";"VANISH PODER O2 INTELLIGENCE G/33% BOTE PLAST 420GR 7501058785688";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058785688"
"RECKITT";"VANISH CRYSTAL WHITE";"VANISH PODER O2 INTELIGENTE CRYSTAL WHITE G/33% BOTE 380GR 7501058785695";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058785695"
"RECKITT";"VANISH";"VANISH PODER O2 BOTE 200 GR 7501058786043";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058786043"
"RECKITT";"VANISH";"VANISH PODER O2 MAX BOTE 1000GRC/GMM BOT.ATOM 650ML 7501058787637";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058787637"
